id;is_active;modified_date;start_date;name
1;TRUE;2014-12-21 00:00:00;2014-12-21 00:00:00;Mexican
2;TRUE;2014-12-21 00:00:00;2014-12-21 00:00:00;Italian
3;TRUE;2014-12-21 00:00:00;2014-12-21 00:00:00;Chinese
4;TRUE;2014-12-21 00:00:00;2014-12-21 00:00:00;Japanese
5;TRUE;2014-12-21 00:00:00;2014-12-21 00:00:00;American
6;TRUE;2014-12-21 00:00:00;2014-12-21 00:00:00;Thai
7;TRUE;2014-12-21 00:00:00;2014-12-21 00:00:00;Greek
8;TRUE;2014-12-21 00:00:00;2014-12-21 00:00:00;Indian
9;TRUE;2014-12-21 00:00:00;2014-12-21 00:00:00;Korean
10;TRUE;2014-12-21 00:00:00;2014-12-21 00:00:00;European
11;TRUE;2014-12-21 00:00:00;2014-12-21 00:00:00;Other
